Mg25_ppm,P31_ppm,Sr88_ppm,Y89_ppm,Ba137_ppm,Pb208_ppm,U238_ppm,dft_mm,Age_cal_yr_bp
1076.876577,56.48944906,17.16900517,0.087628468,6.526860618,0.04,0.078771055,34.13276211,65389
1064.07834,50.69703794,16.93324852,0.080896938,5.553002204,0.04,0.071223722,34.15879778,65391
1031.216435,46.5506722,17.06170018,0.071122079,5.516945141,0.04,0.12043273,34.18411,65391
1039.083733,45.63576072,16.18817897,0.084364665,5.469481036,0.04,0.105640172,34.20942233,65392
1034.790605,48.87803486,16.63267261,0.075262661,5.67018699,0.04,0.046733846,34.235458,65393
1034.312749,54.14165259,17.94660954,0.073631378,6.236423469,0.04,0.109429804,34.26149356,65395
1019.225863,57.84614794,17.43251807,0.161410198,6.112408193,0.04,0.145169793,34.28680588,65396
1013.473004,55.07600147,16.51771232,0.263443304,5.533115012,0.180327549,0.109036229,34.31211822,65396
968.351531,43.61862552,17.12964214,0.191296323,5.586934655,0.18694685,0.091925688,34.33815389,65398
956.1897097,3,18.70666975,0.060829192,6.028126032,0.04,0.112597976,34.36346612,65398
936.2756889,78.15460734,22.81358814,0.043771408,7.976259017,0.04,0.124131163,34.38877844,65399
897.5588987,147.5953453,24.86308477,0.067233279,10.57469026,0.600975543,0.22035884,34.414814,65401
839.4898986,147.5953453,22.20810419,0.10649958,9.170907905,1.078654938,0.306275873,34.44084967,65402
829.2487942,119.1025324,21.88294577,0.158541731,6.975732122,0.41262469,0.380376435,34.466162,65403
882.2919227,3,25.1997932,0.130680755,8.260198667,0.04,0.135776717,34.49147433,65403
922.3923755,40.30047268,24.55615071,0.065656443,8.979335516,0.04,0.325901622,34.51750989,65405
870.6531676,47.84370061,21.30341725,0.080966328,8.07675225,0.042017323,0.551807172,34.54282224,65405
850.3813495,60.56035199,19.06911586,0.103613368,7.388212222,0.04,0.383222745,34.56813456,65406
933.5223261,48.34807153,21.03775587,0.053959496,7.886696711,0.04,0.038883549,34.59417011,65408
926.3940514,44.24285163,22.56594412,0.036277696,8.28821548,0.304032435,0.322554147,34.62020578,65409
862.4725683,54.5904844,22.20476942,0.06724971,7.611991676,1.096277428,0.312332498,34.645518,65410
851.0501812,53.60045111,21.10177414,0.113643622,7.446122118,0.496719043,0.16937286,34.67083033,65410
826.611693,51.2529144,20.38345226,0.131354862,7.931088465,0.04,0.159623266,34.696866,65412
808.8195786,48.88140982,20.46455895,0.090479632,7.465130839,0.04,0.145153361,34.72217835,65412
908.4385671,53.11017664,18.9828587,0.175371702,6.076991316,0.04,0.112996011,34.74749067,65413
1027.543054,53.73030956,19.6637876,0.281212557,8.409696147,0.04,0.099101282,34.77352622,65415
955.8996899,46.45067151,21.13085371,0.190775847,9.96764346,0.04,0.15058666,34.79883859,65415
804.8352786,38.30597147,20.92387802,0.030675165,7.740019262,0.04,0.150333816,34.82415089,65416
793.6664447,66.12901854,20.94430812,0.125688914,7.056846261,0.140737451,0.258711759,34.85018644,65417
836.4808638,92.14629276,22.06480248,0.206486794,8.819263026,0.54097096,0.396809221,34.876222,65419
833.6056438,85.1373243,21.79799201,0.196078102,10.53402205,0.190899877,0.296115998,34.90153447,65420
887.1326979,69.74635683,20.2777869,0.141833786,9.749222318,0.04,0.123151679,34.92684678,65420
995.5681024,58.65874235,18.77505628,0.104157614,7.477790415,0.04,0.105575897,34.95288222,65422
943.0989681,44.50816527,20.12244099,0.070138432,6.072129551,0.04,0.086976484,34.97819471,65422
799.0684537,42.1782583,21.38673727,0.067918063,7.56914945,0.04,0.089018414,35.003507,65423
765.5159138,57.71198024,21.09204636,0.118370933,7.536992391,0.04,0.122352878,35.02954256,65424
